Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides A	Peptides B	Peptides C	Razor + unique peptides A	Razor + unique peptides B	Razor + unique peptides C	Unique peptides A	Unique peptides B	Unique peptides C	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Identification type A	Identification type B	Identification type C	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L A	Ratio M/L normalized A	Ratio M/L variability [%] A	Ratio M/L count A	Ratio M/L iso-count A	Ratio M/L type A	Ratio H/L A	Ratio H/L normalized A	Ratio H/L variability [%] A	Ratio H/L count A	Ratio H/L iso-count A	Ratio H/L type A	Ratio H/M A	Ratio H/M normalized A	Ratio H/M variability [%] A	Ratio H/M count A	Ratio H/M iso-count A	Ratio H/M type A	Ratio M/L B	Ratio M/L normalized B	Ratio M/L variability [%] B	Ratio M/L count B	Ratio M/L iso-count B	Ratio M/L type B	Ratio H/L B	Ratio H/L normalized B	Ratio H/L variability [%] B	Ratio H/L count B	Ratio H/L iso-count B	Ratio H/L type B	Ratio H/M B	Ratio H/M normalized B	Ratio H/M variability [%] B	Ratio H/M count B	Ratio H/M iso-count B	Ratio H/M type B	Ratio M/L C	Ratio M/L normalized C	Ratio M/L variability [%] C	Ratio M/L count C	Ratio M/L iso-count C	Ratio M/L type C	Ratio H/L C	Ratio H/L normalized C	Ratio H/L variability [%] C	Ratio H/L count C	Ratio H/L iso-count C	Ratio H/L type C	Ratio H/M C	Ratio H/M normalized C	Ratio H/M variability [%] C	Ratio H/M count C	Ratio H/M iso-count C	Ratio H/M type C	Sequence coverage A [%]	Sequence coverage B [%]	Sequence coverage C [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity A	Intensity L A	Intensity M A	Intensity H A	Intensity B	Intensity L B	Intensity M B	Intensity H B	Intensity C	Intensity L C	Intensity M C	Intensity H C	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9P2K5;H0YKS1;Q9P2K5-4	Q9P2K5	12;3;1	1;0;0	1;0;0	Myelin expression factor 2	MYEF2	>sp|Q9P2K5|MYEF2_HUMAN Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=3	3	12	1	1	11	11	9	1	1	0	1	1	0	26.8	2	2	64.121	600	600;126;128	1	2	0.0060606	By MS/MS	By MS/MS	By matching	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	22.8	22.8	20.8	10103000	5046900	3436400	1619700	4094900	4094900	0	0	6008000	951950	3436400	1619700	0	0	0	0				829	140;1555;1902;2007;2654;3381;3385;3969;4271;6214;6708;6709	False;False;False;False;False;True;False;False;False;False;False;False	144;1594;1950;2063;2727;3469;3473;4089;4422;6421;6929;6930	463;5619;5620;5621;7027;7028;7029;7688;7689;7690;7691;10094;10095;10096;10097;10098;12972;12973;12982;12983;12984;15255;15256;15257;16686;16687;16688;24361;24362;24363;24364;24365;26256;26257;26258;26259;26260;26261;26262	854;855;12760;12761;12762;12763;15931;15932;15933;18205;18206;18207;18208;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;30741;30742;30743;30758;30759;30760;30761;35769;35770;35771;35772;35773;35774;35775;35776;39435;39436;57700;57701;57702;57703;57704;57705;57706;57707;57708;57709;57710;57711;61909;61910;61911;61912;61913;61914;61915;61916;61917;61918;61919	854;12761;15932;18207;23847;30743;30761;35772;39435;57710;61909;61918		
Q9P2K5-2;H0YN19;Q9P2K5-3	Q9P2K5-2;H0YN19	12;6;4	12;6;4	1;1;1	Myelin expression factor 2	MYEF2	>sp|Q9P2K5-2|MYEF2_HUMAN Isoform 2 of Myelin expression factor 2 OS=Homo sapiens GN=MYEF2;>tr|H0YN19|H0YN19_HUMAN Myelin expression factor 2 (Fragment) OS=Homo sapiens GN=MYEF2 PE=4 SV=1	3	12	12	1	11	11	9	11	11	9	1	1	0	29.5	29.5	3.6	61.929	576	576;290;188	1	39	0	By MS/MS	By MS/MS	By MS/MS	0.51237	0.74628	81.769	22	0	Median	0.92212	1.4313	86.447	22	0	Median	0.4617	0.5637	86.427	22	0	Median	0.39934	0.5189	38.408	8	0	Median	0.17488	0.30498	24.649	8	0	Median	0.41447	0.46161	31.01	8	0	Median	4.8212	2.4142	12.055	5	0	Median	2.1424	1.4573	11.181	5	0	Median	0.40771	0.56128	2.2106	5	0	Median	0.50209	0.75886	89.996	9	0	Median	1.0892	1.9644	29.242	9	0	Median	1.8672	2.5255	70.55	9	0	Median	25.3	25.3	21.7	414320000	146130000	172500000	95695000	116890000	72464000	33725000	10697000	122000000	9702600	87297000	25004000	175430000	63959000	51480000	59994000				830	140;1555;1902;2007;2654;3356;3385;3969;4271;6214;6708;6709	True;True;True;True;True;True;True;True;True;True;True;True	144;1594;1950;2063;2727;3444;3473;4089;4422;6421;6929;6930	463;5619;5620;5621;7027;7028;7029;7688;7689;7690;7691;10094;10095;10096;10097;10098;12890;12891;12982;12983;12984;15255;15256;15257;16686;16687;16688;24361;24362;24363;24364;24365;26256;26257;26258;26259;26260;26261;26262	854;855;12760;12761;12762;12763;15931;15932;15933;18205;18206;18207;18208;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;30563;30564;30758;30759;30760;30761;35769;35770;35771;35772;35773;35774;35775;35776;39435;39436;57700;57701;57702;57703;57704;57705;57706;57707;57708;57709;57710;57711;61909;61910;61911;61912;61913;61914;61915;61916;61917;61918;61919	854;12761;15932;18207;23847;30564;30761;35772;39435;57710;61909;61918		
Q9P2P1;Q9P2P1-2	Q9P2P1;Q9P2P1-2	2;1	2;1	2;1	Protein NYNRIN	NYNRIN	>sp|Q9P2P1|NYNRI_HUMAN Protein NYNRIN OS=Homo sapiens GN=NYNRIN PE=2 SV=3;>sp|Q9P2P1-2|NYNRI_HUMAN Isoform 2 of Protein NYNRIN OS=Homo sapiens GN=NYNRIN	2	2	2	2	1	2	0	1	2	0	1	2	0	2.4	2.4	2.4	208.36	1898	1898;150	1	3	0	By MS/MS	By MS/MS	By matching	0.98094	0.49833	7.8357	2	0	Median	0.90344	0.63954	44.089	2	0	Median	0.85432	1.1155	41.49	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.98094	0.49833	7.8357	2	0	Median	0.90344	0.63954	44.089	2	0	Median	0.85432	1.1155	41.49	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.9	2.4	0	8644100	2496400	2637800	3509900	964620	0	0	964620	7679500	2496400	2637800	2545300	0	0	0	0				831	3734;4984	True;True	3831;5150	14288;14289;19341	33699;33700;33701;45490;45491;45492	33701;45492		
Q9UGP8	Q9UGP8	2	2	2	Translocation protein SEC63 homolog	SEC63	>sp|Q9UGP8|SEC63_HUMAN Translocation protein SEC63 homolog OS=Homo sapiens GN=SEC63 PE=1 SV=2	1	2	2	2	1	1	2	1	1	2	1	1	2	2.9	2.9	2.9	87.996	760	760	1	4	0	By matching	By MS/MS	By MS/MS	0.94058	1.1626	25.933	3	0	Median	0.90069	1.6715	35.094	3	0	Median	0.93704	1.301	45.056	3	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	1.0578	1.3784	24.08	2	0	Median	0.69555	1.264	39.523	2	0	Median	0.77944	1.0247	33.763	2	0	Median	1.7	1.7	2.9	6594000	1747900	3052600	1793500	1275700	312240	346000	617460	752390	0	752390	0	4565900	1435700	1954200	1176100				832	3749;6352	True;True	3846;6561	14349;14350;14351;24921	33865;33866;58931;58932	33866;58931		
Q9UGR2;Q9UGR2-2	Q9UGR2;Q9UGR2-2	23;23	23;23	22;22	Zinc finger CCCH domain-containing protein 7B	ZC3H7B	>sp|Q9UGR2|Z3H7B_HUMAN Zinc finger CCCH domain-containing protein 7B OS=Homo sapiens GN=ZC3H7B PE=1 SV=1;>sp|Q9UGR2-2|Z3H7B_HUMAN Isoform 2 of Zinc finger CCCH domain-containing protein 7B OS=Homo sapiens GN=ZC3H7B	2	23	23	22	22	18	21	22	18	21	21	17	20	31.1	31.1	29.5	111.58	993	993;977	1	74	0	By MS/MS	By MS/MS	By MS/MS	0.88223	1.0288	31.832	47	0	Median	0.92517	1.1221	33.74	47	0	Median	0.85719	1.0836	18.682	47	0	Median	0.84312	1.0921	22.045	19	0	Median	0.91021	1.5849	16.581	19	0	Median	1.0332	1.1699	18.515	19	0	Median	1.8175	0.80207	44.128	16	0	Median	1.4043	0.96403	36.747	16	0	Median	0.84698	1.0945	16.87	16	0	Median	0.72396	1.033	21.789	12	0	Median	0.44759	0.86812	24.601	12	0	Median	0.68027	0.92329	13.713	12	0	Median	29.7	25.2	28.7	498910000	183880000	167670000	147360000	156270000	54062000	46239000	55967000	141500000	34440000	55061000	51994000	201150000	95382000	66369000	39395000				833	300;609;672;683;900;1206;1762;1834;2156;2157;2276;2735;3198;3831;4333;4446;4552;4643;4823;5965;6199;6618;6690	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	310;632;698;710;929;1241;1808;1882;2216;2217;2341;2812;3280;3929;4486;4603;4709;4801;4989;6166;6406;6838;6910	1125;1126;1127;1128;2251;2252;2446;2447;2448;2449;2497;2498;2499;3235;3236;3237;3238;4319;6503;6504;6763;6764;6765;6766;8252;8253;8254;8255;8256;8257;8673;8674;8675;10434;10435;10436;12111;12112;12113;12114;14651;14652;14653;14654;14655;14656;16937;16938;17420;17421;17422;17755;17756;18027;18028;18029;18699;18700;23342;23343;23344;24278;24279;24280;24281;24282;24283;25962;25963;25964;25965;26198;26199;26200	2438;2439;2440;2441;2442;2443;2444;2445;5116;5517;5518;5519;5686;5687;5688;7469;7470;7471;7472;7473;7474;7475;7476;9819;14744;14745;15353;15354;15355;15356;15357;15358;19458;19459;19460;19461;19462;19463;19464;19465;19466;19467;19468;19469;19470;19471;20408;20409;20410;20411;24668;24669;24670;24671;28478;28479;28480;28481;28482;34479;34480;34481;34482;34483;34484;40154;40155;41278;41279;41280;41281;41282;41283;41284;41285;41286;41287;42010;42011;42012;42013;42494;42495;42496;42497;42498;42499;42500;42501;42502;42503;42504;42505;42506;42507;43918;43919;55076;55077;55078;55079;55080;55081;57510;57511;57512;57513;57514;57515;61231;61232;61233;61234;61235;61236;61237;61758;61759;61760	2444;5116;5518;5686;7470;9819;14744;15354;19458;19468;20410;24669;28480;34481;40155;41281;42013;42503;43919;55080;57510;61235;61758		
Q9UHX1;Q9UHX1-4;Q9UHX1-6;Q9UHX1-3;Q9UHX1-5;Q9UHX1-2;E9PQ56;H0YEM1;E9PN18;E9PMU7;E9PL19;H0YCP8	Q9UHX1;Q9UHX1-4;Q9UHX1-6;Q9UHX1-3;Q9UHX1-5;Q9UHX1-2;E9PQ56;H0YEM1;E9PN18	9;9;9;9;9;9;7;7;5;4;3;3	9;9;9;9;9;9;7;7;5;4;3;3	9;9;9;9;9;9;7;7;5;4;3;3	Poly(U)-binding-splicing factor PUF60	PUF60	>sp|Q9UHX1|PUF60_HUMAN Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1;>sp|Q9UHX1-4|PUF60_HUMAN Isoform 4 of Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60;>sp|Q9UHX1-6|PUF60_HUMAN Isoform 6 of Poly(U)-binding-splic	12	9	9	9	8	5	8	8	5	8	8	5	8	26.5	26.5	26.5	59.875	559	559;499;513;516;530;542;323;336;263;247;228;273	1	22	0	By MS/MS	By MS/MS	By MS/MS	0.71249	0.95658	41.147	17	0	Median	0.62158	1.0763	46.731	17	0	Median	0.72978	1.0686	44.151	17	0	Median	0.64755	0.80232	23.107	5	0	Median	0.27467	0.5053	28.57	5	0	Median	0.43656	0.49522	40.675	5	0	Median	3.4763	1.7335	31.618	4	0	Median	1.8109	1.2752	40.738	4	0	Median	0.4914	0.61994	13.141	4	0	Median	0.68867	0.98185	20.903	8	0	Median	0.65224	1.2487	13.003	8	0	Median	0.93565	1.2427	11.48	8	0	Median	25.4	16.5	25.2	184080000	76982000	63869000	43229000	51220000	31915000	13061000	6243300	35669000	4208800	21116000	10344000	97192000	40858000	29691000	26642000				834	275;449;584;833;2968;3366;4312;5312;6230	True;True;True;True;True;True;True;True;True	284;469;607;861;3049;3454;4465;5498;6438	1039;1712;1713;1714;1715;2181;2182;2991;2992;2993;11353;11354;11355;12925;12926;12927;16850;20904;20905;24464;24465;24466	2296;3850;3851;3852;3853;3854;3855;3856;3857;3858;3859;3860;3861;4970;4971;6775;6776;6777;6778;26976;26977;26978;26979;26980;26981;26982;26983;26984;26985;30637;30638;30639;30640;30641;30642;39911;49685;49686;49687;49688;49689;58018;58019;58020;58021;58022;58023;58024;58025;58026;58027;58028;58029;58030;58031	2296;3855;4970;6775;26977;30637;39911;49685;58019		
Q9UIG0;Q9UIG0-2	Q9UIG0;Q9UIG0-2	1;1	1;1	1;1	Tyrosine-protein kinase BAZ1B	BAZ1B	>sp|Q9UIG0|BAZ1B_HUMAN Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2;>sp|Q9UIG0-2|BAZ1B_HUMAN Isoform 2 of Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B	2	1	1	1	0	0	1	0	0	1	0	0	1	1.1	1.1	1.1	170.9	1483	1483;1479	1	1	0.0025094	By matching	By matching	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	0	1.1	1123900	1123900	0	0	0	0	0	0	0	0	0	0	1123900	1123900	0	0				835	198	True	204	720	1535	1535		
Q9UII4;E9PBL0	Q9UII4;E9PBL0	16;11	16;11	16;11	E3 ISG15--protein ligase HERC5	HERC5	>sp|Q9UII4|HERC5_HUMAN E3 ISG15--protein ligase HERC5 OS=Homo sapiens GN=HERC5 PE=1 SV=2;>tr|E9PBL0|E9PBL0_HUMAN E3 ISG15--protein ligase HERC5 OS=Homo sapiens GN=HERC5 PE=2 SV=1	2	16	16	16	14	12	16	14	12	16	14	12	16	25.3	25.3	25.3	116.85	1024	1024;662	1	47	0	By MS/MS	By MS/MS	By MS/MS	0.80578	0.93713	22.278	32	0	Median	0.88654	0.9583	29.095	32	0	Median	0.87161	1.0747	24.388	32	0	Median	0.74638	0.946	9.5044	10	0	Median	0.89747	1.5738	14.187	10	0	Median	1.2206	1.4212	19.519	10	0	Median	1.4082	0.73519	24.572	10	0	Median	1.1976	0.89863	13.953	10	0	Median	0.90041	1.2351	15.176	10	0	Median	0.65765	0.98064	13.49	12	0	Median	0.44394	0.86585	12.74	12	0	Median	0.65879	0.8994	16.499	12	0	Median	20.9	19	25.3	278920000	115000000	84413000	79503000	55262000	17512000	14522000	23229000	52234000	11956000	19196000	21082000	171420000	85534000	50695000	35192000				836	668;1066;1086;1728;2023;2678;2706;2913;3481;4145;4845;5090;5453;5979;6794;6879	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	694;1100;1120;1774;2079;2753;2781;2993;3571;4294;5011;5266;5644;6182;7018;7107	2430;2431;2432;3829;3830;3901;3902;3903;6387;6388;6389;7753;7754;7755;10197;10303;10304;10305;11103;11104;11105;13328;13329;16193;16194;16195;16196;16197;16198;18777;18778;18779;20004;20005;20006;21499;21500;21501;23390;23391;23392;26587;26588;26863;26864;26865;26866	5496;8840;8841;8957;8958;14499;14500;14501;14502;14503;14504;14505;14506;14507;14508;18346;18347;24129;24393;24394;24395;24396;26297;26298;26299;31538;31539;38242;38243;38244;38245;38246;38247;38248;38249;38250;38251;44162;44163;44164;44165;44166;47506;47507;50982;50983;50984;50985;50986;50987;50988;50989;50990;50991;55246;55247;55248;55249;55250;55251;55252;62673;62674;63263;63264;63265;63266;63267;63268;63269	5496;8841;8958;14502;18347;24129;24396;26298;31539;38251;44166;47507;50987;55250;62673;63264		
Q9UKM9;Q9UKM9-2;Q5QPL9;Q5QPM1;Q5QPM0;Q5QPM2	Q9UKM9;Q9UKM9-2;Q5QPL9;Q5QPM1	18;16;13;10;8;4	18;16;13;10;8;4	18;16;13;10;8;4	RNA-binding protein Raly	RALY	>sp|Q9UKM9|RALY_HUMAN RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1;>sp|Q9UKM9-2|RALY_HUMAN Isoform 1 of RNA-binding protein Raly OS=Homo sapiens GN=RALY;>tr|Q5QPL9|Q5QPL9_HUMAN RNA-binding protein Raly (Fragment) OS=Homo sapiens GN=RALY PE=4 	6	18	18	18	17	17	16	17	17	16	17	17	16	69	69	69	32.463	306	306;290;237;181;172;89	1	87	0	By MS/MS	By MS/MS	By MS/MS	0.98063	1.0373	44.057	75	0	Median	0.80605	1.0848	46.127	75	0	Median	0.7216	0.9195	30.78	75	0	Median	0.42893	0.63032	30.268	27	0	Median	0.31817	0.64326	23.909	27	0	Median	0.7533	0.85169	26.746	27	0	Median	2.4207	1.1575	28.521	27	0	Median	1.418	1.1389	30.109	27	0	Median	0.61921	0.88663	14.5	27	0	Median	0.97692	1.476	41.342	21	0	Median	0.80605	1.553	16.435	21	0	Median	0.83048	1.215	32.14	21	0	Median	58.5	66.7	66.7	5435800000	2007100000	1872400000	1556300000	1790200000	999550000	440070000	350560000	1507800000	290570000	709080000	508110000	2137900000	717010000	723230000	697630000				837	47;1916;2262;2361;3002;3072;3276;4802;5198;5432;5433;5529;5737;5952;6182;6297;6298;6567	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	48;1964;2327;2428;3083;3153;3361;4968;5380;5622;5623;5722;5935;6153;6389;6505;6506;6507;6785	142;143;144;145;7087;7088;8628;8629;8630;9014;9015;9016;11464;11465;11466;11467;11468;11469;11470;11715;11716;11717;12446;12447;12448;18627;18628;18629;18630;18631;18632;18633;18634;18635;18636;18637;20438;20439;20440;21420;21421;21422;21423;21424;21425;21426;21427;21428;21429;21430;21431;21814;21815;21816;21817;21818;21819;22552;22553;22554;23309;23310;24174;24175;24176;24177;24178;24179;24709;24710;24711;24712;24713;24714;24715;24716;24717;24718;24719;24720;24721;24722;24723;24724;24725;24726;25766	231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;16068;16069;16070;16071;16072;20278;20279;20280;20281;20282;20283;21218;21219;21220;21221;21222;21223;21224;21225;21226;21227;21228;21229;27238;27239;27240;27241;27242;27243;27244;27245;27246;27247;27248;27715;27716;27717;27718;27719;27720;27721;27722;27723;27724;29285;29286;29287;29288;29289;43763;43764;43765;43766;43767;43768;43769;43770;43771;43772;43773;43774;43775;43776;43777;43778;43779;43780;43781;43782;43783;43784;43785;43786;43787;43788;43789;43790;43791;43792;43793;43794;43795;43796;48584;48585;48586;48587;48588;48589;48590;48591;48592;50840;50841;50842;50843;50844;50845;50846;50847;50848;50849;50850;50851;50852;50853;50854;50855;50856;50857;50858;50859;50860;50861;50862;50863;50864;50865;50866;50867;50868;50869;50870;50871;50872;50873;50874;50875;50876;50877;50878;50879;51659;51660;51661;51662;51663;53306;53307;53308;54987;54988;54989;54990;54991;54992;57193;57194;57195;57196;57197;57198;57199;57200;57201;57202;57203;57204;57205;57206;57207;57208;57209;57210;57211;57212;57213;57214;57215;57216;57217;58494;58495;58496;58497;58498;58499;58500;58501;58502;58503;58504;58505;58506;58507;58508;58509;58510;58511;58512;58513;58514;58515;58516;58517;58518;58519;58520;58521;58522;58523;58524;58525;58526;58527;58528;58529;58530;58531;58532;58533;58534;58535;58536;58537;58538;58539;58540;58541;58542;58543;58544;58545;58546;58547;58548;58549;58550;58551;58552;58553;58554;58555;58556;58557;58558;58559;58560;58561;58562;58563;58564;58565;58566;58567;58568;58569;58570;58571;58572;58573;58574;58575;58576;58577;60822	239;16071;20281;21226;27244;27719;29285;43770;48585;50858;50863;51659;53306;54991;57217;58498;58528;60822	249	89
Q9UKV8;Q9UKV8-2;Q9H9G7;Q9UL18;Q9HCK5;Q9H9G7-2;Q5TA58	Q9UKV8;Q9UKV8-2;Q9H9G7;Q9UL18;Q9HCK5;Q9H9G7-2;Q5TA58	4;4;2;2;2;2;2	4;4;2;2;2;2;2	4;4;2;2;2;2;2	Protein argonaute-2;Protein argonaute-3;Protein argonaute-1;Protein argonaute-4	AGO2;AGO3;AGO1;AGO4	>sp|Q9UKV8|AGO2_HUMAN Protein argonaute-2 OS=Homo sapiens GN=EIF2C2 PE=1 SV=3;>sp|Q9UKV8-2|AGO2_HUMAN Isoform 2 of Protein argonaute-2 OS=Homo sapiens GN=EIF2C2;>sp|Q9H9G7|AGO3_HUMAN Protein argonaute-3 OS=Homo sapiens GN=EIF2C3 PE=1 SV=2;>sp|Q9UL18|AGO1_H	7	4	4	4	2	0	2	2	0	2	2	0	2	6.3	6.3	6.3	97.207	859	859;825;860;857;861;626;782	1	4	0	By MS/MS	By matching	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.8	0	3.5	4134900	3157200	420220	557550	1841800	864070	420220	557550	0	0	0	0	2293100	2293100	0	0				838	219;1401;2519;5244	True;True;True;True	225;1436;2588;5427	788;5089;9569;20617	1672;11720;22413;48964	1672;11720;22413;48964		
Q9ULW3	Q9ULW3	2	2	2	Activator of basal transcription 1	ABT1	>sp|Q9ULW3|ABT1_HUMAN Activator of basal transcription 1 OS=Homo sapiens GN=ABT1 PE=1 SV=1	1	2	2	2	1	1	1	1	1	1	1	1	1	9.6	9.6	9.6	31.079	272	272	1	3	0.0013106	By MS/MS	By MS/MS	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	4.4	5.1	4.4	2646800	1154500	474870	1017400	474870	0	474870	0	1017400	0	0	1017400	1154500	1154500	0	0				839	1828;4853	True;True	1876;5019	6745;18806;18807	15325;44238;44239;44240	15325;44240		
Q9ULX3;H3BUR4	Q9ULX3;H3BUR4	2;1	2;1	2;1	RNA-binding protein NOB1	NOB1	>sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens GN=NOB1 PE=1 SV=1;>tr|H3BUR4|H3BUR4_HUMAN RNA-binding protein NOB1 OS=Homo sapiens GN=NOB1 PE=4 SV=1	2	2	2	2	1	0	2	1	0	2	1	0	2	7.8	7.8	7.8	46.674	412	412;66	1	3	0	By matching	By matching	By MS/MS	0.7556	0.93889	52.594	2	0	Median	0.47657	0.77957	43.161	2	0	Median	0.66642	0.81087	45.913	2	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.2	0	7.8	5701200	3358000	1285700	1057500	1156700	266190	547980	342560	0	0	0	0	4544500	3091800	737750	714920				840	3172;5908	True;True	3253;6109	12029;12030;23188	28304;54737	28304;54737		
Q9ULX6;Q9ULX6-2	Q9ULX6;Q9ULX6-2	2;2	2;2	2;2	A-kinase anchor protein 8-like	AKAP8L	>sp|Q9ULX6|AKP8L_HUMAN A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3;>sp|Q9ULX6-2|AKP8L_HUMAN Isoform 2 of A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L	2	2	2	2	1	1	1	1	1	1	1	1	1	4.3	4.3	4.3	71.648	646	646;585	1	3	0	By MS/MS	By MS/MS	By MS/MS	1.766	1.5129	56.826	2	0	Median	1.409	1.5516	16.248	2	0	Median	0.76367	0.99208	32.244	2	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.3	2	2	11500000	4842600	3702600	2954900	1318500	1318500	0	0	3196200	490840	1591000	1114400	6985400	3033300	2111700	1840500				841	967;4754	True;True	1000;4917	3473;18447;18448	8021;43358;43359;43360;43361	8021;43359		
